id,name_zh,name_en,family,atlas_status,provisional_role,default_use,proposed_partner_ids,governance_status,rationale,source_url
M01,水彩,Watercolor,wet_paint,pilot,BASE,人物敘事、生活情境、柔和教育卡,M39,AUTO_ELIGIBLE_ATLAS,保留透明層次；高密度標籤需線媒材支援,https://github.com/hoiyu915-droid/art-media-atlas/blob/16fe341270150e7b60f3c547364580cdbef11617/Media/manifest.json
M02,水粉,Gouache,wet_paint,pilot,BASE,方法卡、公衛流程、平塗模組,M39|M17,AUTO_ELIGIBLE_ATLAS,不透明度與文字可讀性較均衡,https://github.com/hoiyu915-droid/art-media-atlas/blob/16fe341270150e7b60f3c547364580cdbef11617/Media/manifest.json
M03,廣告顏料,Poster Color,wet_paint,pending,BASE,公衛海報、簡潔平塗,M39,MANUAL_REVIEW_REQUIRED,暫為 family-default，先人工審核,https://github.com/hoiyu915-droid/art-media-atlas/blob/16fe341270150e7b60f3c547364580cdbef11617/Media/manifest.json
M04,壓克力,Acrylic,wet_paint,pending,BASE,耐用平塗、強輪廓圖卡,M39,MANUAL_REVIEW_REQUIRED,暫為 family-default，避免塑膠感,https://github.com/hoiyu915-droid/art-media-atlas/blob/16fe341270150e7b60f3c547364580cdbef11617/Media/manifest.json
M05,油畫,Oil Paint,wet_paint,pending,AVOID_DEFAULT,特殊繪畫敘事,,MANUAL_REVIEW_REQUIRED,厚重筆觸容易壓過小字與醫學標籤,https://github.com/hoiyu915-droid/art-media-atlas/blob/16fe341270150e7b60f3c547364580cdbef11617/Media/manifest.json
M06,蛋彩,Egg Tempera,wet_paint,pilot,BASE,解剖圖鑑、歷史／檔案型醫學卡,M39,AUTO_ELIGIBLE_ATLAS,pilot；兼具不透明度、解剖與檔案性,https://github.com/hoiyu915-droid/art-media-atlas/blob/16fe341270150e7b60f3c547364580cdbef11617/Media/manifest.json
M07,水墨,Ink Wash,drawing_ink,pending,PARTNER,器官輪廓、局部墨線,,MANUAL_REVIEW_REQUIRED,高線精度；不宜讓水墨氣氛吞掉文字區,https://github.com/hoiyu915-droid/art-media-atlas/blob/16fe341270150e7b60f3c547364580cdbef11617/Media/manifest.json
M08,鋼筆墨水,Fountain Pen Ink,drawing_ink,pending,PARTNER,標籤、輪廓、細部排線,,MANUAL_REVIEW_REQUIRED,線媒材，適合補結構,https://github.com/hoiyu915-droid/art-media-atlas/blob/16fe341270150e7b60f3c547364580cdbef11617/Media/manifest.json
M09,噴漆,Spray Paint,sprayed_color,pending,AVOID_DEFAULT,公衛街頭視覺的手動特例,,MANUAL_REVIEW_REQUIRED,噴塗邊緣與 overspray 不宜預設套入醫學卡,https://github.com/hoiyu915-droid/art-media-atlas/blob/16fe341270150e7b60f3c547364580cdbef11617/Media/manifest.json
M10,噴槍,Airbrush,sprayed_color,pending,AVOID_DEFAULT,柔邊特殊效果,,MANUAL_REVIEW_REQUIRED,容易出現數位噴槍感與過度平滑,https://github.com/hoiyu915-droid/art-media-atlas/blob/16fe341270150e7b60f3c547364580cdbef11617/Media/manifest.json
M11,蠟染,Batik,craft_surface,pending,AVOID_DEFAULT,文化／紡織敘事特例,,MANUAL_REVIEW_REQUIRED,材質存在感強，非預設醫學資訊表面,https://github.com/hoiyu915-droid/art-media-atlas/blob/16fe341270150e7b60f3c547364580cdbef11617/Media/manifest.json
M12,琺瑯彩,Enamel,craft_surface,pending,AVOID_DEFAULT,工藝展示特例,,MANUAL_REVIEW_REQUIRED,高光澤表面容易干擾文字層級,https://github.com/hoiyu915-droid/art-media-atlas/blob/16fe341270150e7b60f3c547364580cdbef11617/Media/manifest.json
M13,濕壁畫,Buon Fresco,wall_surface,pending,AVOID_DEFAULT,壁畫／歷史場景特例,,MANUAL_REVIEW_REQUIRED,牆面與老化質感不適合乾淨研究卡,https://github.com/hoiyu915-droid/art-media-atlas/blob/16fe341270150e7b60f3c547364580cdbef11617/Media/manifest.json
M14,生漆／漆畫,Urushi,craft_surface,pending,AVOID_DEFAULT,東亞漆藝敘事特例,,MANUAL_REVIEW_REQUIRED,材質與光澤過強,https://github.com/hoiyu915-droid/art-media-atlas/blob/16fe341270150e7b60f3c547364580cdbef11617/Media/manifest.json
M15,粉筆,Chalk,dry_drawing,pending,PARTNER,局部柔霧、粉質陰影,,MANUAL_REVIEW_REQUIRED,僅小面積使用，避免降低標籤清晰度,https://github.com/hoiyu915-droid/art-media-atlas/blob/16fe341270150e7b60f3c547364580cdbef11617/Media/manifest.json
M16,炭筆,Charcoal,dry_drawing,pending,PARTNER,局部深色、形體陰影,,MANUAL_REVIEW_REQUIRED,適合補體積，不宜大面積壓暗背景,https://github.com/hoiyu915-droid/art-media-atlas/blob/16fe341270150e7b60f3c547364580cdbef11617/Media/manifest.json
M17,色鉛筆,Colored Pencil,dry_drawing,pilot,BASE,醫學機制、研究摘要、人物＋器官,M22|M39,AUTO_ELIGIBLE_ATLAS,SEED14 核心 base；色彩溫度與手作感穩定,https://github.com/hoiyu915-droid/art-media-atlas/blob/16fe341270150e7b60f3c547364580cdbef11617/Media/manifest.json
M18,蠟筆,Wax Crayon,dry_drawing,pending,AVOID_DEFAULT,兒童／粗獷敘事特例,,MANUAL_REVIEW_REQUIRED,筆觸粗，容易降低細標籤穩定性,https://github.com/hoiyu915-droid/art-media-atlas/blob/16fe341270150e7b60f3c547364580cdbef11617/Media/manifest.json
M19,軟性粉彩,Soft Pastel,dry_drawing,pending,AVOID_DEFAULT,柔和人物特例,,MANUAL_REVIEW_REQUIRED,粉霧感可能犧牲輪廓與小字,https://github.com/hoiyu915-droid/art-media-atlas/blob/16fe341270150e7b60f3c547364580cdbef11617/Media/manifest.json
M20,油性粉彩,Oil Pastel,dry_drawing,pending,AVOID_DEFAULT,高飽和敘事特例,,MANUAL_REVIEW_REQUIRED,油性厚感易造成畫面混濁,https://github.com/hoiyu915-droid/art-media-atlas/blob/16fe341270150e7b60f3c547364580cdbef11617/Media/manifest.json
M21,粉彩筆,Pastel Pencil,dry_drawing,pending,PARTNER,柔和局部上色、肖像細節,,MANUAL_REVIEW_REQUIRED,比軟粉彩可控，但仍需人工測試,https://github.com/hoiyu915-droid/art-media-atlas/blob/16fe341270150e7b60f3c547364580cdbef11617/Media/manifest.json
M22,石墨鉛筆,Graphite,dry_drawing,pilot,PARTNER,解剖結構、器材、精細底稿,M17|M01,AUTO_ELIGIBLE_ATLAS,SEED14 核心 partner；亦可作單色條件式 base,https://github.com/hoiyu915-droid/art-media-atlas/blob/16fe341270150e7b60f3c547364580cdbef11617/Media/manifest.json
M23,康特筆,Conte,dry_drawing,pending,PARTNER,檔案感輪廓、溫暖陰影,,MANUAL_REVIEW_REQUIRED,適合局部古典感，不宜全卡泛棕,https://github.com/hoiyu915-droid/art-media-atlas/blob/16fe341270150e7b60f3c547364580cdbef11617/Media/manifest.json
